Date,symbol,Change
15/05/2020,IDX:ASX,-0.5
15/05/2020,IDX:AXX,-0.15
15/05/2020,IDX:AXX1010-GBP,-0.32
22/05/2020,IDX:ASX,0.72
22/05/2020,IDX:AXX,0.84
22/05/2020,IDX:AXX1010-GBP,0.67
29/05/2020,IDX:ASX,0.48
29/05/2020,IDX:AXX,0.95
29/05/2020,IDX:AXX1010-GBP,0.37
05/06/2020,IDX:ASX,1.31
05/06/2020,IDX:AXX,0.64
05/06/2020,IDX:AXX1010-GBP,1.06
12/06/2020,IDX:ASX,-1.19
12/06/2020,IDX:AXX,-0.82
12/06/2020,IDX:AXX1010-GBP,-1.36
19/06/2020,IDX:ASX,0.63
19/06/2020,IDX:AXX,0.54
19/06/2020,IDX:AXX1010-GBP,0.44
26/06/2020,IDX:ASX,-0.46
26/06/2020,IDX:AXX,-0.16
26/06/2020,IDX:AXX1010-GBP,-0.06
03/07/2020,IDX:ASX,0.04
03/07/2020,IDX:AXX,0.23
03/07/2020,IDX:AXX1010-GBP,-0.08
10/07/2020,IDX:ASX,-0.18
10/07/2020,IDX:AXX,-0.24
10/07/2020,IDX:AXX1010-GBP,-0.03
17/07/2020,IDX:ASX,0.55
17/07/2020,IDX:AXX,-0.1
17/07/2020,IDX:AXX1010-GBP,-0.25
24/07/2020,IDX:ASX,-0.45
24/07/2020,IDX:AXX,0.14
24/07/2020,IDX:AXX1010-GBP,0.23
31/07/2020,IDX:ASX,-0.67
31/07/2020,IDX:AXX,0.03
31/07/2020,IDX:AXX1010-GBP,0.34
07/08/2020,IDX:ASX,0.51
07/08/2020,IDX:AXX,1.06
07/08/2020,IDX:AXX1010-GBP,1.13
14/08/2020,IDX:ASX,0.2
14/08/2020,IDX:AXX,0.33
14/08/2020,IDX:AXX1010-GBP,0.21
21/08/2020,IDX:ASX,-0.27
21/08/2020,IDX:AXX,0.19
21/08/2020,IDX:AXX1010-GBP,0.2
28/08/2020,IDX:ASX,-0.06
28/08/2020,IDX:AXX,0.15
28/08/2020,IDX:AXX1010-GBP,0.75
04/09/2020,IDX:ASX,-0.66
04/09/2020,IDX:AXX,-0.45
04/09/2020,IDX:AXX1010-GBP,-0.95
11/09/2020,IDX:ASX,0.68
11/09/2020,IDX:AXX,0.16
11/09/2020,IDX:AXX1010-GBP,-0.05
18/09/2020,IDX:ASX,-0.06
18/09/2020,IDX:AXX,0.41
18/09/2020,IDX:AXX1010-GBP,0.05
25/09/2020,IDX:ASX,-0.55
25/09/2020,IDX:AXX,-0.39
25/09/2020,IDX:AXX1010-GBP,-0.54
02/10/2020,IDX:ASX,0.24
02/10/2020,IDX:AXX,0.22
02/10/2020,IDX:AXX1010-GBP,0.01
09/10/2020,IDX:ASX,0.46
09/10/2020,IDX:AXX,0.52
09/10/2020,IDX:AXX1010-GBP,0.49
16/10/2020,IDX:ASX,-0.31
16/10/2020,IDX:AXX,-0.25
16/10/2020,IDX:AXX1010-GBP,0.09
23/10/2020,IDX:ASX,-0.09
23/10/2020,IDX:AXX,0.06
23/10/2020,IDX:AXX1010-GBP,0.27
30/10/2020,IDX:ASX,-0.98
30/10/2020,IDX:AXX,-0.65
30/10/2020,IDX:AXX1010-GBP,-0.22
06/11/2020,IDX:ASX,1.09
06/11/2020,IDX:AXX,0.71
06/11/2020,IDX:AXX1010-GBP,0.38
13/11/2020,IDX:ASX,1.38
13/11/2020,IDX:AXX,0.34
13/11/2020,IDX:AXX1010-GBP,0.12
20/11/2020,IDX:ASX,0.15
20/11/2020,IDX:AXX,0.62
20/11/2020,IDX:AXX1010-GBP,0.43
27/11/2020,IDX:ASX,0.04
27/11/2020,IDX:AXX,0.15
27/11/2020,IDX:AXX1010-GBP,-0.03
04/12/2020,IDX:ASX,0.6
04/12/2020,IDX:AXX,0.57
04/12/2020,IDX:AXX1010-GBP,0.84
11/12/2020,IDX:ASX,-0.12
11/12/2020,IDX:AXX,-0.14
11/12/2020,IDX:AXX1010-GBP,0.46
18/12/2020,IDX:ASX,0.05
18/12/2020,IDX:AXX,0.62
18/12/2020,IDX:AXX1010-GBP,0.42
24/12/2020,IDX:ASX,0.02
24/12/2020,IDX:AXX,0.76
24/12/2020,IDX:AXX1010-GBP,0.32
25/12/2020,IDX:ASX,0
25/12/2020,IDX:AXX,0
25/12/2020,IDX:AXX1010-GBP,0
31/12/2020,IDX:ASX,-0.17
31/12/2020,IDX:AXX,0.86
31/12/2020,IDX:AXX1010-GBP,0.94
01/01/2021,IDX:ASX,0
01/01/2021,IDX:AXX,0
01/01/2021,IDX:AXX1010-GBP,0
08/01/2021,IDX:ASX,1.1
08/01/2021,IDX:AXX,0.39
08/01/2021,IDX:AXX1010-GBP,0.13
15/01/2021,IDX:ASX,-0.4
15/01/2021,IDX:AXX,-0.11
15/01/2021,IDX:AXX1010-GBP,-0.6
22/01/2021,IDX:ASX,-0.09
22/01/2021,IDX:AXX,0.38
22/01/2021,IDX:AXX1010-GBP,0.66
29/01/2021,IDX:ASX,-0.77
29/01/2021,IDX:AXX,-0.58
29/01/2021,IDX:AXX1010-GBP,-0.3
05/02/2021,IDX:ASX,0.37
05/02/2021,IDX:AXX,0.86
05/02/2021,IDX:AXX1010-GBP,0.73
12/02/2021,IDX:ASX,0.24
12/02/2021,IDX:AXX,0.14
12/02/2021,IDX:AXX1010-GBP,0.07
19/02/2021,IDX:ASX,0.09
19/02/2021,IDX:AXX,-0.09
19/02/2021,IDX:AXX1010-GBP,-0.31
26/02/2021,IDX:ASX,-0.36
26/02/2021,IDX:AXX,-0.51
26/02/2021,IDX:AXX1010-GBP,-0.52
05/03/2021,IDX:ASX,0.37
05/03/2021,IDX:AXX,-0.34
05/03/2021,IDX:AXX1010-GBP,-0.72
12/03/2021,IDX:ASX,0.42
12/03/2021,IDX:AXX,0.48
12/03/2021,IDX:AXX1010-GBP,0.51
16/03/2021,IDX:ASX,0
16/03/2021,IDX:AXX,0
16/03/2021,IDX:AXX1010-GBP,0
19/03/2021,IDX:ASX,-0.14
19/03/2021,IDX:AXX,0.11
19/03/2021,IDX:AXX1010-GBP,0.13
24/03/2021,IDX:ASX,0
24/03/2021,IDX:AXX,0
24/03/2021,IDX:AXX1010-GBP,0
26/03/2021,IDX:ASX,0.09
