child,parent,,
10000,null,,
11000,10000,,`
11100,11000,,
11101,11100,,
11102,11100,,
11103,11100,,
11104,11100,,
11105,11100,,
11106,11100,,
11107,11100,,
11108,11100,,
11109,11100,,
11110,11100,,
11111,11100,,
11112,11100,,
11113,11100,,
11114,11100,,
11115,11100,,
11116,11100,,
11117,11100,,
11200,11000,,
11201,11200,,
11202,11200,,
11203,11200,,
12000,10000,,
12100,12000,,
12101,12100,,
12102,12100,,
12200,12000,,
12201,12200,,
12202,12200,,
12203,12200,,
12204,12200,,
12205,12200,,
13000,10000,,
13100,13000,,
13101,13100,,
13102,13100,,
13103,13100,,
13200,13000,,
13201,13200,,
13202,13200,,
13203,13200,,
13300,13000,,
13301,13300,,
13302,13300,,
13303,13300,,
13304,13300,,
13305,13300,,
13306,13300,,
13307,13300,,
13308,13300,,
13309,13300,,
14000,10000,,
14100,14000,,
14101,14100,,
14102,14100,,
14103,14100,,
14104,14100,,
14105,14100,,
14106,14100,,
14107,14100,,
14108,14100,,
14200,14000,,
14201,14200,,
14202,14200,,
14203,14200,,
14204,14200,,
14205,14200,,
14206,14200,,
14207,14200,,
14208,14200,,
14300,14000,,
14301,14300,,
14302,14300,,
14303,14300,,
14304,14300,,
14305,14300,,
14306,14300,,
14307,14300,,
14308,14300,,
14309,14300,,
14400,14000,,
14401,14400,,
14402,14400,,
14403,14400,,
14404,14400,,
14405,14400,,
14406,14400,,
14407,14400,,
14500,14000,,
14501,14500,,
14502,14500,,
14503,14500,,
14504,14500,,
14505,14500,,
14506,14500,,
14507,14500,,
14508,14500,,
15000,10000,,
15100,15000,,
15101,15100,,
15102,15100,,
15200,15000,,
15201,15200,,
15202,15200,,
15203,15200,,
15204,15200,,
15300,15000,,
15301,15300,,
15302,15300,,
15303,15300,,
15304,15300,,
15305,15300,,
15306,15300,,
15307,15300,,
15308,15300,,
15309,15300,,
15310,15300,,
15311,15300,,
15312,15300,,
15400,15000,,
15401,15400,,
15402,15400,,
15403,15400,,
15500,15000,,
15501,15500,,
15502,15500,,
15503,15500,,
15600,15000,,
15601,15600,,
15602,15600,,
15603,15600,,
15604,15600,,
15605,15600,,
15606,15600,,
15607,15600,,
15608,15600,,
15609,15600,,
15610,15600,,
15611,15600,,
15612,15600,,
15613,15600,,
15700,15000,,
15701,15700,,
15702,15700,,
15703,15700,,
15704,15700,,
15705,15700,,
15706,15700,,
15707,15700,,
15708,15700,,
15709,15700,,
15710,15700,,
15711,15700,,
15712,15700,,
15713,15700,,
15714,15700,,
15715,15700,,
15716,15700,,
15717,15700,,
15718,15700,,
15719,15700,,
15720,15700,,
15721,15700,,
15722,15700,,
15800,15000,,
15801,15800,,
15802,15800,,
15803,15800,,
15804,15800,,
15805,15800,,
15806,15800,,
15807,15800,,
15808,15800,,
15809,15800,,
15810,15800,,
15811,15800,,
15812,15800,,
15813,15800,,
15814,15800,,
15815,15800,,
15816,15800,,
15817,15800,,
